Setnum,id,baseId,name,rarity,hp,attack,class,flavor,artKey,artType,Set
1,amazon-ec2-C,amazon-ec2,Amazon EC2,Common,80,40,Product,"Virtual machines on demand. Pay only for what you run, scale up/down quickly, and deploy globally. Entry point for AWS customer acquisition and long-term infrastructure spend.",amazon-ec2-C,favicon,base
2,amazon-s3-C,amazon-s3,Amazon S3,Common,50,60,Product,"Object storage for files and data at any scale. Used for backups, app assets, and data lakes because it's durable, low cost, and integrates across AWS.",amazon-s3-C,favicon,base
3,aws-lambda-C,aws-lambda,AWS Lambda,Common,70,70,Product,"Run code in response to events without managing servers. Auto-scales and charges per request/time, lowering ops work and cost for bursty workloads and integrations.",aws-lambda-C,favicon,base
4,amazon-rds-C,amazon-rds,Amazon RDS,Common,80,40,Product,"Managed relational databases (MySQL/Postgres/etc.). Automates provisioning, backups, patching, and scaling so teams cut DBA effort, improve reliability, and ship faster.",amazon-rds-C,favicon,base
5,amazon-dynamodb-C,amazon-dynamodb,Amazon DynamoDB,Common,40,40,Product,Serverless NoSQL database built for low-latency at scale. Avoids capacity planning while keeping predictable performance as traffic grows.,amazon-dynamodb-C,favicon,base
6,aws-iam-C,aws-iam,AWS IAM,Common,20,403,Product,Identity and access management for AWS. Defines who/what can do which actions; least-privilege reduces breach risk and meets compliance needs.,aws-iam-C,favicon,base
7,amazon-vpc-C,amazon-vpc,Amazon VPC,Common,80,40,Product,"Isolated virtual network in AWS. Control subnets, routing, and connectivity (VPN/Direct Connect) to meet security, latency, and compliance requirements.",amazon-vpc-C,favicon,base
8,amazon-cloudfront-C,amazon-cloudfront,Amazon CloudFront,Common,20,404,Product,"CDN for websites, video, and APIs. Caches near users to cut latency, handle spikes, and reduce origin load and cost.",amazon-cloudfront-C,favicon,base
9,amazon-route-53-C,amazon-route-53,Amazon Route 53,Common,53,53,Product,DNS and traffic routing with health checks. Routes users to healthy endpoints and supports failover to improve uptime and customer experience.,amazon-route-53-C,favicon,base
10,amazon-cloudwatch-C,amazon-cloudwatch,Amazon CloudWatch,Common,60,30,Product,"Metrics, logs, and alarms for AWS and apps. Detect issues early, shorten incidents, and track service health and business KPIs.",amazon-cloudwatch-C,favicon,base
11,amazon-eks-U,amazon-eks,Amazon EKS,Uncommon,90,50,Product,Managed Kubernetes control plane. Standardize container platforms with less ops burden while using Kubernetes tooling and ecosystem.,amazon-eks-U,favicon,base
12,amazon-ecs-U,amazon-ecs,Amazon ECS,Uncommon,80,80,Product,"AWS-native container orchestration. Run microservices with simpler setup and strong AWS integration, reducing operational overhead.",amazon-ecs-U,favicon,base
13,aws-fargate-U,aws-fargate,AWS Fargate,Uncommon,90,50,Product,"Serverless compute for containers. Run tasks without managing servers, pay for resources used, and scale easily - good for teams that want containers with minimal ops.",aws-fargate-U,favicon,base
14,amazon-api-gateway-U,amazon-api-gateway,Amazon API Gateway,Uncommon,100,100,Product,"Create, secure, and operate APIs. Handles auth, throttling, caching, and monitoring to launch APIs safely and control cost.",amazon-api-gateway-U,favicon,base
